Address,Tokens,Vesting Duration,Vesting Cliff,Percentage Vested
0xAA6305e1a63816265649FcDEbD138c4D1c82f8e4,1154000,365,90,80
0x46E6824705fbc5d350BEf681cB81f748ccfC23Bd,2499788,0,0,0
0x165c07cE29F0b53dEcFe610d6a8C293eb4965b05,40000,365,90,100
0x7cF505ac37dfb08424744a1aE82314BBA2a96003,1095690,365,90,100
0x7bfA24A7507741280ca9b249Ebf1A8AE9dA17214,337137,365,90,100
0x2d137Ad89A94daF710575C321E4C33fCFd7CE663,1095690,182,0,100
0x32acA2B8F250D01c8edDa5687A3436A9767B17cC,200000,365,90,100
0x4092B1EA5CB2E024e86498Ef7a32A9ACfFa35916,500000,365,90,100
0x6670E278e643Cc17FA6b7519a24dC042880CDf1D,100000,365,90,100
0x54cB74529a774aBc23Ecf9861940B50719d50b35,400000,365,90,100
0xEB2024F7A9d0E6A9524cfA77E03Cd6e9e61927C0,50000,365,90,100
0x0D7c985587B29835d400453CF40cD25ECa72d7aF,100000,365,90,100
0x486e77889CD3ABC023e6bB4ecDB7ae72ddc85301,500000,365,90,100
0x1aC1382f689a806c5fb21d682122CF24E305E8D5,500000,365,90,100
0xAF42046a1DDC96A18105e9A3aF6C5190ee4D9B6f,500000,365,90,100
0x38f235d2f979999BB035AFf1e4Edb49Ed05cfae5,28250000,1095,0,48
0x732db7f8c6B415D8BA0bd5f9F47B3610ED270066,116874,0,0,0
0xDd6779BCe41a9Cb572E729f7829F1C9015430592,231099,0,0,0
0x3B6C6ee5895e3bce1482E93011068D5D957B32fc,250000,365,90,100
0xC9Ae245002765489CB50E461d175EA0A03C96675,60000,365,90,100
0x3bEeeC463E40067dA68d38855A31B69AaDC9DCFf,200000,365,0,75
0x1aEf8D39AB9ff09fF2c198106942f553155571c0,313367,0,0,0
0x6f430357880b9018f2b79462871891Fc84C6A0e2,3652,0,0,0
0xBec9EF0Df54158Df9015A123271686732230B919,27392,0,0,0
0x2191E71AFF40dD8e11CEc850B68C54D76B47271A,913075,0,0,0
0x490ba48665D8B27EDa4265bb14c11Cab099973F8,50000,365,0,75
0x9a4A91E7329a669493BCc31a0d51D7Cf685cc5d7,45714,365,0,75
0x6755947f7ff70EA384c8Dc671e58AEb9cDe6859a,8580,182,0,80
0xAb9e0eeef668837e575e4aC1B4F4E3c2B333623f,4290,182,0,80
0xDa9c2EE58d08CB5Ad781467027E844AaF8AAEBf9,3652,0,0,0
