Address,Tokens Rounded,Vesting Duration,Vesting Cliff,Percentage Vested
0x46E6824705fbc5d350BEf681cB81f748ccfC23Bd,68845.50,0,0,0
0x18a0c2afA2feE1A62A91C9dA662Af12Dde6C8967,11239168.74,455,0,1
0x7bfA24A7507741280ca9b249Ebf1A8AE9dA17214,2578397.53,90,0,1
0x61C126F63C0715926f3C9b639b5d3874C7e3Aa61,419416.19,455,0,1
0x61C126F63C0715926f3C9b639b5d3874C7e3Aa61,320730.03,90,0,1
0x89E43ad88278A921E7Ea2Fd3330C239f68608f81,200509.46,455,0,1
0xD73819524acECa5De4512933dab7B924E48f70c2,245329.23,90,0,1
0x0b4276dEABae2F89949F52E987F5805315485464,200509.46,455,0,1
0x0b4276dEABae2F89949F52E987F5805315485464,153330.76,90,0,1
0x61C126F63C0715926f3C9b639b5d3874C7e3Aa61,123630.85,455,0,1
0xEE8EBd123672689c51B6949F6CBD0eaF479AF902,1123916.87,455,0,1
0x69BcDFDA7010291e2B10eEe523e8eF05Db76D6f1,214866.46,90,0,1
0x704A3E97C78eC8d022FA8b59b5EdDbB75BCe497e,853593.97,90,0,1
0x01ECc81093Ccf1208D79f5556C08701D73f958c3,880742.78,90,0,1
0x2d137Ad89A94daF710575C321E4C33fCFd7CE663,1382499.11,455,0,1
0xeD47BC970E6c4DAE916437B9dC7CC61ed219fb0c,243515.32,270,0,1
0x1bA0Ad39D40D16A188b8501F4B2F13D69598dF9a,487030.64,270,0,1
0x6503616D5687DD39BCfdd30255C93919A94E6864,561495.20,455,0,1
0x51B97d46FA9EaF549695856F47944DE7D3A2AEfE,1864409.50,455,0,1
0x21D36a5d591895839DcB5710ec01f96E3A8c0f37,410465.68,455,0,1
0xdD55e1Cb6910076a8118d0790b859652d5ACe3f3,553135.68,455,0,1
0x894a7885C94AF55B6d2abc4e5DCB67cF4E931129,859465.84,90,0,1
0xbFb24Ab5480e94c220ea9Cc4dABACfeD1c39462f,974061.29,270,0,1
0x9bE70840Cffd0788a18cF8888F329Aba9fC29342,487030.64,270,0,1
0x5358eA0295b36c08FfE243223598Ebd925A10bdc,558302.85,455,0,1
0x1b7cBeE6983F045e267c148156f040368E80aB58,280979.21,455,0,1
0xa7C25ee541C71d5bE9cbed05229F087a3F7AA99D,1968375.03,270,0,1
0x46DCA176D81846f7ab2167D3c188333557Effe57,859465.84,90,0,1
0x9D7Fbfcf67fC18C2ac18482F606F67EC64C1bbE3,1385935.50,0,0,0
0x7A36dc7580C42742C6F401F47d05dE76f91ee21d,1190464.98,270,0,1
0xb5a17e41205cC2BfC6712a7f6CcC4eC3156a6690,1300333.14,90,0,1
0xae009aB8B7050875e1eE52D90422c305B27aeF08,2014323.22,90,0,1
0x82C0113F0F954733b64A3Fd3127c1cABF154ec84,224783.37,455,0,1
0xC729Dc8B707732bCfBEcD0EEdd2ED05308825718,112391.68,455,0,1
0xA8c597DBcBEB8982b3E06cf6d555741E5957870D,3008130.45,90,0,1
0xEd8B46A823854c8d60d037f918d54c474DF9c964,337175.06,455,0,1
0x18b6C0b9C8D606d07003fE2AB04d5619B736fF33,730544.53,455,0,1
0x3799FcB73D79743400aFEA1a06a0f351dB8147f8,561958.43,455,0,1
0x49D7B1978bcaf27F0e28879162b8003f436395E8,7327471.32,0,0,0
0x2B72cC7F5Fa29fc920Af0c883F9B7bCd31cf55Fd,214866.46,90,0,1
0x9af7d510aC5F34e74F3456cf912efb55B5A31429,1123916.87,455,0,1
0xFa33c9513B80153e869628AEeFCAAfB8148cc73A,2359182.17,90,0,1
0x30040Aa8925E384eB5cEf44a60044CF5E752cF01,747951.37,455,0,1
0xbB29Bdfe21c3102209DEE00E999b4EA3044ed58B,707764.11,455,0,1
0xcDE80442bB65323a32C6D29F710e0E0E2F602292,1348700.24,455,0,1
0x2aDD8DB8bC8fd43E52e55BCc07CC82b603458156,1123916.87,0,0,0
0xe62FAe1D627BD45B314E5e73740B388d14788B02,112391.68,455,0,1
0x38A8F87a1680Ce07709418A89886854A871f0C77,146109.19,270,0,1
0xFA3030F64698b81eB1c32267449e9AD462A5E58b,214866.46,90,0,1
0xcA1eC7b3693875878A5ed40CE20E0a7493E31e29,358145.60,90,0,1
0x999b92ed322FE15606EfbC1dfe0faf6fA08A952d,429732.92,90,0,1
0x430De2dbD88043D51CcE0F36452c017F9a82F386,78674.01,455,0,1
0x91AdCd92a65c6336D201488138299c9f1F0F9BD0,56195.84,455,0,1
0xeC6B12410CbEcF9A6b0981ce7f87f2D6796BE262,2809792.18,455,0,1
0x1297B9CD34008Ac2f893cC9fF41fCc1218CE777A,710917.31,90,0,1
0x2bD8D918bB242E67e05B2248967438D450EE3922,155960.42,365,0,0.8
0x1336BE074F6DCF26cEb4082e0aeAbd3dc469dCCf,21916.38,0,0,0
0x6f9f340B3c10ab4036ac77B813f6094775Bd4e38,10958.19,0,0,0
0xb445AeA98AC72949E3e5d6e2D77C7FaDea87eBa7,27418.49,365,0,0.8
0x61f37dcBc4466aa4b503a647e89969959f32C612,12799.17,0,0,0
0x99D5974116F2B32Da8541a21753Ab092a5Fd504b,10962.06,0,0,0
0x6D7aAD6b0f6F759dF426943CF20Bf43548E5CC41,13697.74,365,0,0.8
0x6B76ec52e4FDBB7c07e7fDF12FB4306E09dF7Cbd,10958.19,0,0,0
0x72f727a93C63C7710E73539Ab2528571cD59562A,36527.30,0,0,0
0x4Beebc8d523B378f4AF94bF3463A82d6CC55cb1D,280273.32,365,0,0.8
0x16AB161B1e816B0Ce5258763Bf25bFE6462e35c6,22887.37,365,0,0.8
0x406A6c69Bb029b82BfF7594B7c4DF520E245082F,3872299.74,0,0,0
0xA99D54D79D3601fEc517f8421807307489450690,73324.39,0,0,0
0xD8566b66CdeB8E82Af32D413F357B5a806451558,13697.74,365,0,0.8
0x8A0C7c8fefe90eF5D001862F9BDFbAee41e57c1D,34845.67,365,0,0.8
0xB20B049f29d71e053e442A99701CEc484Ea9914b,20957.99,365,0,0.8
0x1BC7E9efbcB63A7591378d154b1698BCc119cfBC,54029.79,0,0,0
0xD01aDaaE9fb773d66c74F137dbE0A99Fbd34DB81,11557.09,0,0,0
0x8AbbB0FD5A232371F144FbCdb96827eC3AD080F1,30519.84,365,0,0.8
0x442AbF40Cbd7e659310b583373EfDc9D0BF8584e,180603.47,365,0,0.8
0xF82c7aF3C27b530243Fc7499f098EbF5d0253d7d,27395.47,365,0,0.8
0xe90F82f95a9845a2B2cc67c2eAc0eC1846e66C08,14464.37,0,0,0
0x1a44cf63e6883EafD95108E909d6C2f77eCf335f,77241.81,365,0,0.8
0xBaedd1c422730E86eA954F3F1083Fb6EB9bd86Bd,135114.84,365,0,0.8
0xfd40d8D8f21a71700f0Dc238C519A4A6AEc2B548,91186.02,365,0,0.8
0xCFFE18c1511642C1C0787c472482f3f4E7FE478D,4590561.93,365,0,0.8
0x9336437E432dd1e11FD343796B345B8943deF883,18258.32,0,0,0
0xAa8807BD9FA2cB18db71ECe767BbD227be10f01b,14610.92,0,0,0
0xAdD69208019f06a35526864edf236C64689EA6d5,76713.90,365,0,0.8
0x60623e01439de8bb8576186Fd21da642E5061a21,22829.56,365,0,0.8
0x28d9408F30B2177f484D1CEA0A800BAeBfB559CE,22176.16,0,0,0
0x9c828A9a0D3E34aBFB63bD9082dDF1BC329BbbE8,320678.63,365,0,0.8
0x0d4ae074321e50e9feAC2122c86e2c8fa710A803,221441.27,0,0,0
0x562aB75FD9A9B6eE38808463f208DDC784f48c48,45919.84,365,0,0.8
0x3A832ef2F648d1DbFc13C8f2279D2203140b285b,58747.22,0,0,0
0x8F2B845b094e1DFFD4939F6eeB1C9F337D92E751,27475.47,365,0,0.8
0xfb86361cAaC069f039F30F8Bdb5bF7545387ab8F,274626.48,365,0,0.8
0xd4c2586bE5bbE782792619295868beaea3cD7a28,54660.27,365,0,0.8
0x277df50738A2Badd2095B3bd38a840FD7ad930e0,32637.94,0,0,0
0x0a1bA317665a354b20E5fb71e76F008199C14228,11045.42,0,0,0
0xB2fA6af1E404991654c66Be9638DB1D4991e3bf6,91318.25,365,0,0.8
0x5Ecd4d5907b14C4D356F03a251dBef6591aF177c,46581.62,365,0,0.8
0xF73398dB19C569352EE06bC81abE783C7b32D682,10958.19,0,0,0
0x2AADe19ea9e4cc61Ddea1F4Aa1697DED356CA4De,36527.30,365,0,0.8
0x0b7BcD7Cb5E704BF5c16bC22beEA6887CBA0DB12,14628.23,0,0,0
0x3D608eb888Dc35B18C8489Adbb0B3FeadB3e60ce,13762.66,365,0,0.8
0xb6A910F37DC712A89c39436151729566855f0771,29184.95,0,0,0
0xAAD55F2aC6080f9df05996711751e67d21cb38e8,14634.81,0,0,0
0x7C53C9f0f491aC555feAc706c8aB62d990c2f28C,13697.74,365,0,0.8
0x07c220Da77A18b48692Dab4a2e08435d3c0B8943,102558.13,0,0,0
0x9AD3cd9b1530b5A147Cd9b8690971573c1c35560,13739.29,365,0,0.8
0x811fbc5b8EEDfEe7602776d06F44A53F7245AA90,13679.84,365,0,0.8
0xED2C8898B3B8a2ff227735990b371E0659952393,14610.92,0,0,0
0xf81fE1280dDC442Fb0a398814bd6bc01AB060788,11688.74,0,0,0
0x5eaC0308F08cE1046cf0204028f68EDA51468675,13603.68,365,0,0.8
0xb53bC45A2ff09e4DB013cf1Bfca72e4183d1b9fC,54790.95,365,0,0.8
0x6aEf8c5168B804966CF6876E5DBe51d3793b3287,73054.60,0,0,0
0x2f473211f274aC6882A6e362C3817498227C6299,13697.74,365,0,0.8
0xFc8e2965D9a41BCE73798a2fCdD7b6A749417D58,1069206.44,365,0,0.8
0x1BE900c94793525A7d762825Db3C6B1821FFA8d1,11989.65,0,0,0
0x61df7e7E2c85a7db27E775404d2E9a7df8EE0f9C,91376.32,0,0,0
0x847b5111CE0756fC1115B7641DFAA43C07FCDd54,116467.73,0,0,0
0xAb6aae5fa97123D656cD758fB8852fCAE2dD1D48,265508.17,365,0,0.8
0x403a4392C3e3bE79dC68274FdF5a22ba276c1486,21185.83,0,0,0
0x72b8a99b579c4815FAA3788b375508c6513F56e3,10944.46,0,0,0
0x5Fa90a8224353477Db7A416F313308A07E66112E,1477787.69,0,0,0
0xe65f421a1Bf86C05E3EdFa2201c27b842857874c,365085.31,0,0,0
0x8936597dcC2C398791fC3b41eFb732cfCC737005,54595.96,0,0,0
0x4669d5E364AAAacb4c5E5E85a1cD155EFABB032e,91328.11,365,0,0.8
0xcf1A8e8F866B1dEc0375cA59392FFCb59B359A16,114147.81,365,0,0.8
0x039f6839Df6B51d1071FBb16d4a9b5758F6D31A9,11062.07,0,0,0
0x4F497c127C7c699B8C1a5b8773799763dD894c13,10958.19,0,0,0
0x06F0e203d61F06af105e702Ad2F14F046cC2fc08,73225.73,365,0,0.8
0xF62277805c17C2B9795088311F175B79C37b9414,57884.37,0,0,0
0xc158B51bc9B94488654a5D8150eFA1c6bfCA8005,36549.14,0,0,0
0xbbDc9429763ab83395D0c5C43C513520Bc099460,114147.81,365,0,0.8
0x0CE0CCb1AdfE3aD7daaeC93c18Bb06143eF445Fa,73054.60,0,0,0
0xE5D1E4C9f58A95EfAD115e181B44098a2f346b43,27395.47,365,0,0.8
0xc008319478bAFE14C04df72925a7adb6bA5F4e8E,21203.66,0,0,0
0x13bb0b12D21f78b022405CC3a11CD950337FDa48,73158.19,0,0,0
0x2cc02818C8664802572EB477496C3c68E7616D34,13697.74,365,0,0.8
0x18ed35C4c53B01209f43Cc96525F10232713A486,365272.98,0,0,0
0xBcF95a8f8508F40A5e2E5b8DF2fa1c4647363084,27395.47,365,0,0.8
0x896337BBEbFf48Ae75511dbD36570c35D68b0114,18270.50,365,0,0.8
0xd59870d278078F172e528BF82A7f6791374c726E,91318.25,365,0,0.8
0x84dB89A1E0d709dE8a1010A2ce3Ad7948226393B,14686.02,0,0,0
0x24F0B334085D6B97eBC1ed11bbAd209D1a08f35C,13697.74,365,0,0.8
